                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1435,                 3.5682,                 1.2536,                0.00333,                      1,                0.47505,                 0.3467,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                0.86837,                 2.1289,                0.99584,                0.00333,                      1,                0.93863,                 0.7049,                      0,                    inf,                      0,               0.068465,              0.0034654,              0.0034654
                      2,                0.88494,                 1.3998,                 1.0124,                      1,                 0.2607,                0.96885,                0.77743,                      0,                    inf,                      0,               0.052195,              0.0051951,              0.0051951
                      3,                0.99624,                  1.279,                 1.0649,                0.95239,                0.77778,                 0.9649,                0.70141,                      0,                    inf,                      0,               0.035889,              0.0068891,              0.0068891
                      4,                 1.0046,                 1.1947,                 1.0765,                0.93406,                0.87654,                0.94803,                0.68828,                      0,                    inf,                      0,               0.019548,              0.0085476,              0.0085476
                      5,                 1.0233,                 1.2865,                 1.1194,                0.92782,                0.95213,                0.97723,                0.73461,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                 1.0593,                 1.1243,                 1.1259,                 0.9271,                0.94207,                0.96767,                0.74046,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                0.98981,                 1.0942,                 1.0869,                0.92744,                0.95062,                0.97795,                0.71208,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.0906,                 1.1719,                 1.1467,                0.86263,                0.82716,                 0.9254,                0.65852,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.0172,                  1.089,                 1.1074,                0.86794,                0.97368,                0.96025,                0.72855,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.98121,                0.99701,                 1.0823,                0.90805,                0.92593,                0.96907,                0.74008,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.95233,                0.96958,                 1.0737,                0.94727,                0.88716,                0.95682,                0.70943,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.94919,                0.93517,                 1.0709,                0.89944,                0.93827,                0.95497,                0.74836,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.98733,                0.89534,                 1.0895,                0.89136,                0.93827,                0.96266,                0.71986,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.94882,                0.87012,                 1.0667,                0.94816,                0.93827,                0.97007,                0.70604,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                0.93733,                0.84063,                 1.0584,                 0.9382,                0.96296,                0.96881,                0.72002,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                0.95812,                 0.8093,                 1.0598,                 0.9377,                0.92915,                 0.9688,                0.68021,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                0.93944,                0.83481,                 1.0659,                0.96044,                0.96296,                0.98205,                0.73352,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.92192,                0.78461,                 1.0474,                0.96286,                0.97531,                0.97058,                0.77402,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                0.94326,                0.78617,                 1.0509,                0.94048,                0.98765,                 0.9789,                0.76888,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 0.9355,                0.78483,                 1.0484,                0.94958,                0.98765,                0.98236,                0.73851,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                 0.8936,                0.75115,                 1.0462,                0.96168,                0.92939,                0.96745,                0.75803,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                0.89562,                0.71442,                 1.0407,                0.97317,                0.98765,                0.98212,                0.76357,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                0.89252,                0.74443,                 1.0341,                0.94774,                0.97531,                0.98063,                0.78631,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                0.83568,                 0.7113,                 1.0291,                0.96444,                0.95062,                0.98731,                0.76703,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                0.90936,                0.74338,                 1.0758,                0.96318,                0.96883,                0.97772,                0.80045,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                0.84199,                0.68701,                 1.0321,                0.98746,                0.97192,                0.98204,                0.80811,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.90439,                0.71702,                 1.0234,                0.96049,                0.96296,                0.97822,                0.79447,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.88912,                0.70457,                 1.0619,                0.97233,                0.96296,                0.98269,                0.76847,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.84962,                0.66951,                 1.0191,                0.94849,                0.97531,                0.98351,                0.80663,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.85952,                0.70651,                 1.0317,                0.96325,                0.97069,                0.98615,                 0.7863,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.83092,                0.66846,                 1.0119,                0.96109,                0.91484,                0.97462,                0.73755,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
